trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.75, 'e': 0.4624853668753008}",25,12,6.689382992909873,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.75, 'e': 0.4535961214255773}",20,0,-48.70612899035172,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
111,False,"{'a': 0.75, 'e': 0.4446615167417068}",30,12,-67.93533589703209,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
112,False,"{'a': 0.75, 'e': 0.4356824462767121}",25,7,-15.342216477269288,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.75, 'e': 0.42665980793015723}",20,3,-51.092826161514544,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.75, 'e': 0.41759450395835795}",25,0,-17.699712591696393,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.75, 'e': 0.40848744088415717}",20,0,-34.11450474826426,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.75, 'e': 0.3993395294062732}",20,0,-79.74406732739023,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
117,False,"{'a': 0.75, 'e': 0.3901516843082303}",25,13,3.6586074818434646,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.75, 'e': 0.38092482436688185}",30,0,-63.42938344108382,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
119,False,"{'a': 0.75, 'e': 0.371659872260533}",30,0,39.97213776712218,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.75, 'e': 0.3623577544766736}",30,18,3.5118035205448748,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.75, 'e': 0.3530194012193304}",20,7,-8.816369087504903,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
122,False,"{'a': 0.75, 'e': 0.34364574631604705}",20,11,-36.55067739142309,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.75, 'e': 0.3342377271245026}",25,18,11.206597208820437,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.75, 'e': 0.32479628443877623}",20,2,-18.434422984442957,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
125,False,"{'a': 0.75, 'e': 0.3153223623952687}",30,9,-47.0181061699752,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 1}",1
126,False,"{'a': 0.75, 'e': 0.30581690837828934}",20,8,-30.843349922886677,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.75, 'e': 0.29628087292531874}",25,4,2.061733748257097,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
128,False,"{'a': 0.75, 'e': 0.2867152096319555}",30,13,0.7394936456084806,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.75, 'e': 0.2771208750565576}",25,0,20.12161646099856,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.75, 'e': 0.26749882862458735}",20,2,-42.85260760284559,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.75, 'e': 0.2578500325326696}",25,1,-20.08572926414632,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.75, 'e': 0.2481754516523729}",20,8,-48.50747744397665,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
133,False,"{'a': 0.75, 'e': 0.23847605343372313}",25,0,-60.70661902682314,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
134,False,"{'a': 0.75, 'e': 0.22875280780845939}",20,6,28.064420882469776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.75, 'e': 0.2190066870930415}",20,3,23.25497534141653,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.75, 'e': 0.20923866589141926}",30,13,11.49686852715264,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.75, 'e': 0.19944972099757285}",30,2,22.61965668273371,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.75, 'e': 0.18964083129783424}",20,9,9.732165212389338,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.75, 'e': 0.17981297767299936}",25,0,14.020334691192595,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.75, 'e': 0.16996714290024081}",20,11,-47.50943156848821,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
